Channel              :		CH1
Frequency            :		  ?
Period               :		  ?
PK-PK                :		17.58mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		5.859375
2		5.859375
3		1.953125
4		5.859375
5		1.953125
6		5.859375
7		1.953125
8		5.859375
9		1.953125
10		5.859375
11		1.953125
12		5.859375
13		1.953125
14		5.859375
15		1.953125
16		5.859375
17		1.953125
18		5.859375
19		1.953125
20		5.859375
21		1.953125
22		5.859375
23		1.953125
24		5.859375
25		1.953125
26		5.859375
27		1.953125
28		5.859375
29		3.906250
30		5.859375
31		1.953125
32		5.859375
33		1.953125
34		5.859375
35		1.953125
36		5.859375
37		1.953125
38		5.859375
39		3.906250
40		5.859375
41		1.953125
42		5.859375
43		1.953125
44		5.859375
45		1.953125
46		5.859375
47		3.906250
48		5.859375
49		1.953125
50		7.812500
51		1.953125
52		5.859375
53		1.953125
54		5.859375
55		1.953125
56		5.859375
57		1.953125
58		7.812500
59		1.953125
60		5.859375
61		1.953125
62		5.859375
63		3.906250
64		5.859375
65		1.953125
66		5.859375
67		3.906250
68		5.859375
69		1.953125
70		5.859375
71		1.953125
72		5.859375
73		1.953125
74		5.859375
75		1.953125
76		5.859375
77		1.953125
78		5.859375
79		1.953125
80		5.859375
81		3.906250
82		5.859375
83		1.953125
84		5.859375
85		1.953125
86		5.859375
87		1.953125
88		5.859375
89		1.953125
90		7.812500
91		3.906250
92		5.859375
93		1.953125
94		5.859375
95		1.953125
96		7.812500
97		3.906250
98		5.859375
99		1.953125
100		5.859375
101		1.953125
102		5.859375
103		1.953125
104		5.859375
105		1.953125
106		5.859375
107		1.953125
108		5.859375
109		1.953125
110		5.859375
111		1.953125
112		5.859375
113		1.953125
114		5.859375
115		1.953125
116		5.859375
117		1.953125
118		5.859375
119		1.953125
120		5.859375
121		1.953125
122		5.859375
123		1.953125
124		7.812500
125		1.953125
126		5.859375
127		1.953125
128		5.859375
129		1.953125
130		5.859375
131		1.953125
132		5.859375
133		1.953125
134		5.859375
135		1.953125
136		5.859375
137		1.953125
138		5.859375
139		1.953125
140		5.859375
141		1.953125
142		5.859375
143		1.953125
144		5.859375
145		1.953125
146		5.859375
147		1.953125
148		5.859375
149		1.953125
150		5.859375
151		1.953125
152		5.859375
153		1.953125
154		5.859375
155		1.953125
156		5.859375
157		1.953125
158		5.859375
159		1.953125
160		5.859375
161		1.953125
162		5.859375
163		1.953125
164		5.859375
165		1.953125
166		3.906250
167		0.000000
168		5.859375
169		1.953125
170		3.906250
171		1.953125
172		3.906250
173		0.000000
174		5.859375
175		1.953125
176		3.906250
177		0.000000
178		5.859375
179		0.000000
180		3.906250
181		1.953125
182		3.906250
183		0.000000
184		3.906250
185		0.000000
186		3.906250
187		0.000000
188		3.906250
189		0.000000
190		3.906250
191		0.000000
192		3.906250
193		0.000000
194		3.906250
195		0.000000
196		3.906250
197		-1.953125
198		3.906250
199		0.000000
200		1.953125
201		0.000000
202		3.906250
203		0.000000
204		3.906250
205		0.000000
206		1.953125
207		-1.953125
208		1.953125
209		0.000000
210		3.906250
211		-1.953125
212		1.953125
213		-1.953125
214		3.906250
215		0.000000
216		1.953125
217		-1.953125
218		3.906250
219		-1.953125
220		1.953125
221		-1.953125
222		1.953125
223		-1.953125
224		1.953125
225		-1.953125
226		1.953125
227		-1.953125
228		1.953125
229		-1.953125
230		1.953125
231		-1.953125
232		1.953125
233		-1.953125
234		0.000000
235		-1.953125
236		1.953125
237		-1.953125
238		1.953125
239		-1.953125
240		1.953125
241		-1.953125
242		1.953125
243		-1.953125
244		1.953125
245		-1.953125
246		1.953125
247		-1.953125
248		0.000000
249		-1.953125
250		0.000000
251		-3.906250
252		1.953125
253		-1.953125
254		0.000000
255		-3.906250
256		0.000000
257		-3.906250
258		0.000000
259		-3.906250
260		0.000000
261		-3.906250
262		1.953125
263		-3.906250
264		0.000000
265		-3.906250
266		0.000000
267		-3.906250
268		0.000000
269		-3.906250
270		0.000000
271		-3.906250
272		0.000000
273		-3.906250
274		0.000000
275		-3.906250
276		0.000000
277		-3.906250
278		0.000000
279		-3.906250
280		0.000000
281		-3.906250
282		0.000000
283		-3.906250
284		-1.953125
285		-3.906250
286		-1.953125
287		-5.859375
288		-1.953125
289		-3.906250
290		-1.953125
291		-3.906250
292		-1.953125
293		-5.859375
294		0.000000
295		-3.906250
296		-1.953125
297		-5.859375
298		-1.953125
299		-3.906250
300		0.000000
301		-5.859375
302		-1.953125
303		-5.859375
304		-1.953125
305		-3.906250
306		-1.953125
307		-3.906250
308		-1.953125
309		-5.859375
310		-1.953125
311		-5.859375
312		-1.953125
313		-5.859375
314		-1.953125
315		-5.859375
316		-1.953125
317		-3.906250
318		-1.953125
319		-5.859375
320		-1.953125
321		-5.859375
322		-1.953125
323		-5.859375
324		-1.953125
325		-5.859375
326		-1.953125
327		-5.859375
328		-1.953125
329		-5.859375
330		-1.953125
331		-5.859375
332		-1.953125
333		-5.859375
334		-3.906250
335		-5.859375
336		-1.953125
337		-5.859375
338		-1.953125
339		-5.859375
340		-1.953125
341		-5.859375
342		-3.906250
343		-5.859375
344		-1.953125
345		-5.859375
346		-1.953125
347		-5.859375
348		-1.953125
349		-5.859375
350		-3.906250
351		-5.859375
352		-3.906250
353		-5.859375
354		-1.953125
355		-5.859375
356		-3.906250
357		-5.859375
358		-3.906250
359		-5.859375
360		-3.906250
361		-5.859375
362		-3.906250
363		-7.812500
364		-3.906250
365		-5.859375
366		-3.906250
367		-5.859375
368		-3.906250
369		-7.812500
370		-1.953125
371		-5.859375
372		-3.906250
373		-5.859375
374		-3.906250
375		-7.812500
376		-3.906250
377		-7.812500
378		-3.906250
379		-5.859375
380		-3.906250
381		-7.812500
382		-3.906250
383		-5.859375
384		-3.906250
385		-7.812500
386		-3.906250
387		-7.812500
388		-3.906250
389		-7.812500
390		-3.906250
391		-7.812500
392		-3.906250
393		-5.859375
394		-3.906250
395		-7.812500
396		-3.906250
397		-7.812500
398		-3.906250
399		-5.859375
400		-3.906250
401		-5.859375
402		-3.906250
403		-7.812500
404		-1.953125
405		-5.859375
406		-3.906250
407		-7.812500
408		-3.906250
409		-7.812500
410		-3.906250
411		-5.859375
412		-3.906250
413		-7.812500
414		-3.906250
415		-7.812500
416		-3.906250
417		-5.859375
418		-3.906250
419		-7.812500
420		-3.906250
421		-5.859375
422		-3.906250
423		-5.859375
424		-3.906250
425		-5.859375
426		-3.906250
427		-5.859375
428		-3.906250
429		-7.812500
430		-1.953125
431		-7.812500
432		-1.953125
433		-5.859375
434		-3.906250
435		-5.859375
436		-1.953125
437		-5.859375
438		-1.953125
439		-5.859375
440		-1.953125
441		-5.859375
442		-3.906250
443		-5.859375
444		-1.953125
445		-5.859375
446		-1.953125
447		-5.859375
448		-3.906250
449		-5.859375
450		-3.906250
451		-5.859375
452		-1.953125
453		-5.859375
454		-1.953125
455		-5.859375
456		-1.953125
457		-5.859375
458		-1.953125
459		-5.859375
460		-1.953125
461		-5.859375
462		-1.953125
463		-5.859375
464		-1.953125
465		-7.812500
466		-1.953125
467		-5.859375
468		-3.906250
469		-5.859375
470		-1.953125
471		-5.859375
472		-1.953125
473		-5.859375
474		-1.953125
475		-5.859375
476		-1.953125
477		-5.859375
478		-1.953125
479		-5.859375
480		-1.953125
481		-5.859375
482		-1.953125
483		-5.859375
484		-1.953125
485		-5.859375
486		-1.953125
487		-5.859375
488		-1.953125
489		-5.859375
490		-1.953125
491		-5.859375
492		-1.953125
493		-5.859375
494		-1.953125
495		-5.859375
496		-1.953125
497		-5.859375
498		-1.953125
499		-5.859375
500		-1.953125
501		-3.906250
502		-1.953125
503		-5.859375
504		-1.953125
505		-5.859375
506		-1.953125
507		-5.859375
508		-1.953125
509		-5.859375
510		-1.953125
511		-5.859375
512		-1.953125
513		-5.859375
514		-1.953125
515		-3.906250
516		-1.953125
517		-3.906250
518		-1.953125
519		-5.859375
520		-1.953125
521		-5.859375
522		0.000000
523		-3.906250
524		0.000000
525		-5.859375
526		-1.953125
527		-3.906250
528		-1.953125
529		-3.906250
530		-1.953125
531		-5.859375
532		0.000000
533		-3.906250
534		-1.953125
535		-3.906250
536		-1.953125
537		-3.906250
538		0.000000
539		-3.906250
540		0.000000
541		-3.906250
542		0.000000
543		-3.906250
544		0.000000
545		-3.906250
546		0.000000
547		-3.906250
548		0.000000
549		-3.906250
550		0.000000
551		-3.906250
552		-1.953125
553		-3.906250
554		1.953125
555		-3.906250
556		0.000000
557		-3.906250
558		0.000000
559		-3.906250
560		0.000000
561		-1.953125
562		0.000000
563		-3.906250
564		0.000000
565		-3.906250
566		0.000000
567		-1.953125
568		0.000000
569		-1.953125
570		0.000000
571		-3.906250
572		1.953125
573		-1.953125
574		0.000000
575		-1.953125
576		1.953125
577		-1.953125
578		1.953125
579		-1.953125
580		1.953125
581		-1.953125
582		1.953125
583		-1.953125
584		1.953125
585		-1.953125
586		0.000000
587		-1.953125
588		1.953125
589		-1.953125
590		1.953125
591		-1.953125
592		1.953125
593		-1.953125
594		1.953125
595		-1.953125
596		1.953125
597		-1.953125
598		1.953125
599		-1.953125
600		1.953125
601		0.000000
602		1.953125
603		0.000000
604		1.953125
605		-1.953125
606		1.953125
607		-1.953125
608		1.953125
