Channel              :		CH1
Frequency            :		974.9Hz
Period               :		1.026ms
PK-PK                :		216.8mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		117.187500
2		117.187500
3		113.281250
4		117.187500
5		113.281250
6		117.187500
7		113.281250
8		117.187500
9		113.281250
10		117.187500
11		113.281250
12		115.234375
13		113.281250
14		115.234375
15		111.328125
16		115.234375
17		111.328125
18		115.234375
19		111.328125
20		115.234375
21		111.328125
22		113.281250
23		111.328125
24		113.281250
25		109.375000
26		113.281250
27		109.375000
28		113.281250
29		109.375000
30		111.328125
31		107.421875
32		111.328125
33		107.421875
34		109.375000
35		107.421875
36		109.375000
37		105.468750
38		109.375000
39		105.468750
40		107.421875
41		103.515625
42		107.421875
43		101.562500
44		105.468750
45		101.562500
46		103.515625
47		101.562500
48		103.515625
49		99.609375
50		103.515625
51		97.656250
52		101.562500
53		95.703125
54		99.609375
55		93.750000
56		97.656250
57		93.750000
58		97.656250
59		91.796875
60		95.703125
61		89.843750
62		93.750000
63		89.843750
64		91.796875
65		87.890625
66		91.796875
67		85.937500
68		89.843750
69		83.984375
70		87.890625
71		82.031250
72		87.890625
73		80.078125
74		83.984375
75		78.125000
76		82.031250
77		78.125000
78		82.031250
79		76.171875
80		78.125000
81		72.265625
82		76.171875
83		70.312500
84		76.171875
85		70.312500
86		74.218750
87		68.359375
88		70.312500
89		64.453125
90		68.359375
91		62.500000
92		68.359375
93		60.546875
94		64.453125
95		58.593750
96		62.500000
97		56.640625
98		60.546875
99		52.734375
100		58.593750
101		52.734375
102		56.640625
103		48.828125
104		54.687500
105		46.875000
106		50.781250
107		44.921875
108		48.828125
109		42.968750
110		46.875000
111		41.015625
112		44.921875
113		37.109375
114		41.015625
115		35.156250
116		39.062500
117		33.203125
118		37.109375
119		29.296875
120		35.156250
121		27.343750
122		33.203125
123		25.390625
124		29.296875
125		21.484375
126		27.343750
127		19.531250
128		25.390625
129		17.578125
130		21.484375
131		15.625000
132		19.531250
133		11.718750
134		17.578125
135		9.765625
136		15.625000
137		7.812500
138		11.718750
139		3.906250
140		9.765625
141		3.906250
142		7.812500
143		0.000000
144		5.859375
145		-1.953125
146		3.906250
147		-3.906250
148		0.000000
149		-7.812500
150		-3.906250
151		-9.765625
152		-5.859375
153		-11.718750
154		-7.812500
155		-15.625000
156		-9.765625
157		-17.578125
158		-13.671875
159		-21.484375
160		-15.625000
161		-21.484375
162		-17.578125
163		-25.390625
164		-21.484375
165		-29.296875
166		-23.437500
167		-29.296875
168		-25.390625
169		-31.250000
170		-27.343750
171		-35.156250
172		-29.296875
173		-37.109375
174		-33.203125
175		-39.062500
176		-33.203125
177		-42.968750
178		-37.109375
179		-42.968750
180		-39.062500
181		-44.921875
182		-41.015625
183		-46.875000
184		-42.968750
185		-48.828125
186		-44.921875
187		-52.734375
188		-46.875000
189		-54.687500
190		-50.781250
191		-56.640625
192		-52.734375
193		-56.640625
194		-54.687500
195		-60.546875
196		-54.687500
197		-60.546875
198		-58.593750
199		-64.453125
200		-60.546875
201		-66.406250
202		-60.546875
203		-68.359375
204		-62.500000
205		-68.359375
206		-64.453125
207		-70.312500
208		-66.406250
209		-72.265625
210		-68.359375
211		-74.218750
212		-70.312500
213		-74.218750
214		-72.265625
215		-76.171875
216		-72.265625
217		-78.125000
218		-74.218750
219		-78.125000
220		-76.171875
221		-80.078125
222		-76.171875
223		-82.031250
224		-78.125000
225		-82.031250
226		-78.125000
227		-83.984375
228		-80.078125
229		-83.984375
230		-80.078125
231		-83.984375
232		-82.031250
233		-85.937500
234		-82.031250
235		-85.937500
236		-83.984375
237		-87.890625
238		-83.984375
239		-87.890625
240		-85.937500
241		-87.890625
242		-85.937500
243		-89.843750
244		-85.937500
245		-89.843750
246		-85.937500
247		-89.843750
248		-87.890625
249		-89.843750
250		-87.890625
251		-91.796875
252		-87.890625
253		-91.796875
254		-87.890625
255		-91.796875
256		-87.890625
257		-91.796875
258		-87.890625
259		-91.796875
260		-87.890625
261		-91.796875
262		-87.890625
263		-91.796875
264		-87.890625
265		-89.843750
266		-87.890625
267		-91.796875
268		-87.890625
269		-89.843750
270		-87.890625
271		-89.843750
272		-85.937500
273		-89.843750
274		-85.937500
275		-89.843750
276		-85.937500
277		-89.843750
278		-85.937500
279		-87.890625
280		-83.984375
281		-85.937500
282		-83.984375
283		-87.890625
284		-82.031250
285		-85.937500
286		-82.031250
287		-83.984375
288		-82.031250
289		-83.984375
290		-80.078125
291		-82.031250
292		-80.078125
293		-82.031250
294		-78.125000
295		-80.078125
296		-76.171875
297		-80.078125
298		-76.171875
299		-78.125000
300		-74.218750
301		-78.125000
302		-72.265625
303		-74.218750
304		-72.265625
305		-74.218750
306		-70.312500
307		-72.265625
308		-68.359375
309		-70.312500
310		-66.406250
311		-68.359375
312		-64.453125
313		-68.359375
314		-64.453125
315		-64.453125
316		-62.500000
317		-62.500000
318		-58.593750
319		-62.500000
320		-56.640625
321		-60.546875
322		-56.640625
323		-56.640625
324		-52.734375
325		-56.640625
326		-50.781250
327		-54.687500
328		-50.781250
329		-52.734375
330		-46.875000
331		-48.828125
332		-46.875000
333		-46.875000
334		-42.968750
335		-44.921875
336		-41.015625
337		-44.921875
338		-39.062500
339		-41.015625
340		-37.109375
341		-39.062500
342		-35.156250
343		-37.109375
344		-31.250000
345		-33.203125
346		-29.296875
347		-31.250000
348		-27.343750
349		-29.296875
350		-25.390625
351		-27.343750
352		-23.437500
353		-23.437500
354		-19.531250
355		-21.484375
356		-17.578125
357		-19.531250
358		-15.625000
359		-17.578125
360		-11.718750
361		-15.625000
362		-9.765625
363		-11.718750
364		-7.812500
365		-9.765625
366		-5.859375
367		-7.812500
368		-1.953125
369		-5.859375
370		0.000000
371		-1.953125
372		1.953125
373		0.000000
374		5.859375
375		1.953125
376		7.812500
377		3.906250
378		9.765625
379		7.812500
380		13.671875
381		9.765625
382		13.671875
383		13.671875
384		17.578125
385		15.625000
386		19.531250
387		17.578125
388		21.484375
389		19.531250
390		25.390625
391		23.437500
392		27.343750
393		25.390625
394		31.250000
395		29.296875
396		33.203125
397		29.296875
398		35.156250
399		33.203125
400		37.109375
401		35.156250
402		39.062500
403		37.109375
404		41.015625
405		41.015625
406		44.921875
407		42.968750
408		46.875000
409		44.921875
410		48.828125
411		46.875000
412		52.734375
413		50.781250
414		54.687500
415		50.781250
416		56.640625
417		54.687500
418		58.593750
419		54.687500
420		60.546875
421		58.593750
422		62.500000
423		60.546875
424		64.453125
425		62.500000
426		66.406250
427		64.453125
428		70.312500
429		66.406250
430		70.312500
431		68.359375
432		72.265625
433		72.265625
434		74.218750
435		72.265625
436		76.171875
437		74.218750
438		80.078125
439		76.171875
440		80.078125
441		78.125000
442		82.031250
443		80.078125
444		83.984375
445		82.031250
446		85.937500
447		83.984375
448		87.890625
449		85.937500
450		89.843750
451		85.937500
452		91.796875
453		87.890625
454		91.796875
455		89.843750
456		93.750000
457		91.796875
458		95.703125
459		91.796875
460		95.703125
461		93.750000
462		97.656250
463		95.703125
464		99.609375
465		97.656250
466		99.609375
467		97.656250
468		101.562500
469		99.609375
470		103.515625
471		99.609375
472		103.515625
473		101.562500
474		105.468750
475		103.515625
476		105.468750
477		103.515625
478		107.421875
479		103.515625
480		107.421875
481		105.468750
482		109.375000
483		107.421875
484		109.375000
485		107.421875
486		111.328125
487		107.421875
488		111.328125
489		107.421875
490		113.281250
491		109.375000
492		113.281250
493		109.375000
494		113.281250
495		111.328125
496		113.281250
497		111.328125
498		115.234375
499		111.328125
500		113.281250
501		111.328125
502		115.234375
503		111.328125
504		115.234375
505		111.328125
506		115.234375
507		113.281250
508		115.234375
509		113.281250
510		115.234375
511		113.281250
512		117.187500
513		113.281250
514		117.187500
515		113.281250
516		115.234375
517		113.281250
518		115.234375
519		111.328125
520		115.234375
521		111.328125
522		115.234375
523		113.281250
524		115.234375
525		111.328125
526		115.234375
527		113.281250
528		115.234375
529		111.328125
530		115.234375
531		111.328125
532		115.234375
533		111.328125
534		113.281250
535		109.375000
536		113.281250
537		109.375000
538		115.234375
539		107.421875
540		113.281250
541		109.375000
542		111.328125
543		107.421875
544		111.328125
545		107.421875
546		111.328125
547		105.468750
548		109.375000
549		105.468750
550		109.375000
551		105.468750
552		107.421875
553		101.562500
554		107.421875
555		101.562500
556		107.421875
557		101.562500
558		107.421875
559		101.562500
560		103.515625
561		99.609375
562		103.515625
563		97.656250
564		101.562500
565		97.656250
566		101.562500
567		95.703125
568		99.609375
569		91.796875
570		97.656250
571		91.796875
572		97.656250
573		89.843750
574		97.656250
575		87.890625
576		93.750000
577		87.890625
578		93.750000
579		85.937500
580		89.843750
581		83.984375
582		89.843750
583		83.984375
584		85.937500
585		82.031250
586		85.937500
587		78.125000
588		85.937500
589		76.171875
590		82.031250
591		76.171875
592		82.031250
593		72.265625
594		80.078125
595		72.265625
596		78.125000
597		68.359375
598		74.218750
599		68.359375
600		72.265625
601		66.406250
602		70.312500
603		62.500000
604		68.359375
605		58.593750
606		66.406250
607		58.593750
608		64.453125
609		54.687500
610		62.500000
611		52.734375
612		60.546875
613		52.734375
614		58.593750
615		48.828125
616		56.640625
617		48.828125
618		52.734375
619		44.921875
620		50.781250
621		41.015625
622		48.828125
623		39.062500
624		46.875000
625		37.109375
626		44.921875
627		35.156250
628		42.968750
629		33.203125
630		41.015625
631		31.250000
632		39.062500
633		29.296875
634		33.203125
635		27.343750
636		31.250000
637		21.484375
638		29.296875
639		19.531250
640		27.343750
641		17.578125
642		25.390625
643		15.625000
644		21.484375
645		13.671875
646		19.531250
647		9.765625
648		17.578125
649		7.812500
650		15.625000
651		5.859375
652		9.765625
653		1.953125
654		7.812500
655		0.000000
656		7.812500
657		-1.953125
658		3.906250
659		-5.859375
660		1.953125
661		-7.812500
662		0.000000
663		-11.718750
664		-1.953125
665		-11.718750
666		-5.859375
667		-13.671875
668		-9.765625
669		-15.625000
670		-11.718750
671		-19.531250
672		-13.671875
673		-21.484375
674		-15.625000
675		-25.390625
676		-17.578125
677		-27.343750
678		-19.531250
679		-31.250000
680		-23.437500
681		-31.250000
682		-25.390625
683		-33.203125
684		-27.343750
685		-35.156250
686		-31.250000
687		-39.062500
688		-33.203125
689		-41.015625
690		-35.156250
691		-42.968750
692		-37.109375
693		-44.921875
694		-39.062500
695		-48.828125
696		-41.015625
697		-50.781250
698		-42.968750
699		-50.781250
700		-44.921875
701		-52.734375
702		-48.828125
703		-56.640625
704		-50.781250
705		-58.593750
706		-50.781250
707		-60.546875
708		-52.734375
709		-62.500000
710		-54.687500
711		-64.453125
712		-56.640625
713		-66.406250
714		-58.593750
715		-68.359375
716		-60.546875
717		-68.359375
718		-64.453125
719		-70.312500
720		-66.406250
721		-72.265625
722		-66.406250
723		-74.218750
724		-66.406250
725		-76.171875
726		-68.359375
727		-78.125000
728		-70.312500
729		-78.125000
730		-72.265625
731		-80.078125
732		-72.265625
733		-80.078125
734		-74.218750
735		-80.078125
736		-78.125000
737		-82.031250
738		-78.125000
739		-83.984375
740		-78.125000
741		-85.937500
742		-78.125000
743		-85.937500
744		-80.078125
745		-87.890625
746		-82.031250
747		-87.890625
748		-82.031250
749		-89.843750
750		-82.031250
751		-87.890625
752		-85.937500
753		-87.890625
754		-85.937500
755		-91.796875
756		-85.937500
757		-91.796875
758		-85.937500
759		-91.796875
760		-85.937500
761		-93.750000
762		-85.937500
763		-93.750000
764		-85.937500
765		-93.750000
766		-85.937500
767		-93.750000
768		-87.890625
769		-91.796875
770		-87.890625
771		-93.750000
772		-87.890625
773		-93.750000
774		-87.890625
775		-93.750000
776		-85.937500
777		-93.750000
778		-85.937500
779		-93.750000
780		-85.937500
781		-91.796875
782		-85.937500
783		-91.796875
784		-85.937500
785		-89.843750
786		-87.890625
787		-89.843750
788		-85.937500
789		-91.796875
790		-83.984375
791		-89.843750
792		-83.984375
793		-89.843750
794		-83.984375
795		-89.843750
796		-82.031250
797		-87.890625
798		-82.031250
799		-87.890625
800		-80.078125
801		-83.984375
802		-82.031250
803		-82.031250
804		-80.078125
805		-83.984375
806		-76.171875
807		-83.984375
808		-76.171875
809		-80.078125
810		-74.218750
811		-80.078125
812		-74.218750
813		-78.125000
814		-72.265625
815		-78.125000
816		-70.312500
817		-76.171875
818		-70.312500
819		-72.265625
820		-68.359375
821		-72.265625
822		-66.406250
823		-72.265625
824		-64.453125
825		-70.312500
826		-62.500000
827		-66.406250
828		-60.546875
829		-66.406250
830		-58.593750
831		-64.453125
832		-56.640625
833		-62.500000
834		-54.687500
835		-58.593750
836		-54.687500
837		-56.640625
838		-52.734375
839		-56.640625
840		-48.828125
841		-54.687500
842		-46.875000
843		-52.734375
844		-44.921875
845		-50.781250
846		-42.968750
847		-48.828125
848		-41.015625
849		-44.921875
850		-39.062500
851		-44.921875
852		-37.109375
853		-39.062500
854		-35.156250
855		-37.109375
856		-31.250000
857		-35.156250
858		-29.296875
859		-35.156250
