Channel              :		CH1
Frequency            :		1.978kHz
Period               :		0.506ms
PK-PK                :		128.9mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		68.359375
2		68.359375
3		72.265625
4		68.359375
5		72.265625
6		68.359375
7		72.265625
8		70.312500
9		72.265625
10		70.312500
11		72.265625
12		68.359375
13		72.265625
14		68.359375
15		70.312500
16		66.406250
17		72.265625
18		68.359375
19		70.312500
20		66.406250
21		70.312500
22		66.406250
23		68.359375
24		64.453125
25		68.359375
26		64.453125
27		66.406250
28		62.500000
29		66.406250
30		60.546875
31		64.453125
32		60.546875
33		62.500000
34		58.593750
35		62.500000
36		56.640625
37		60.546875
38		54.687500
39		58.593750
40		52.734375
41		56.640625
42		50.781250
43		54.687500
44		46.875000
45		52.734375
46		46.875000
47		50.781250
48		42.968750
49		46.875000
50		41.015625
51		44.921875
52		39.062500
53		42.968750
54		35.156250
55		41.015625
56		33.203125
57		37.109375
58		31.250000
59		35.156250
60		27.343750
61		33.203125
62		25.390625
63		29.296875
64		21.484375
65		27.343750
66		17.578125
67		23.437500
68		15.625000
69		21.484375
70		13.671875
71		17.578125
72		9.765625
73		15.625000
74		5.859375
75		11.718750
76		3.906250
77		9.765625
78		1.953125
79		5.859375
80		-1.953125
81		1.953125
82		-3.906250
83		0.000000
84		-7.812500
85		-1.953125
86		-9.765625
87		-5.859375
88		-13.671875
89		-9.765625
90		-15.625000
91		-11.718750
92		-19.531250
93		-13.671875
94		-21.484375
95		-15.625000
96		-23.437500
97		-19.531250
98		-27.343750
99		-21.484375
100		-29.296875
101		-23.437500
102		-31.250000
103		-27.343750
104		-33.203125
105		-27.343750
106		-35.156250
107		-31.250000
108		-37.109375
109		-33.203125
110		-39.062500
111		-35.156250
112		-41.015625
113		-37.109375
114		-41.015625
115		-39.062500
116		-42.968750
117		-39.062500
118		-44.921875
119		-41.015625
120		-46.875000
121		-42.968750
122		-46.875000
123		-42.968750
124		-46.875000
125		-44.921875
126		-48.828125
127		-44.921875
128		-48.828125
129		-44.921875
130		-48.828125
131		-44.921875
132		-48.828125
133		-46.875000
134		-48.828125
135		-46.875000
136		-50.781250
137		-46.875000
138		-48.828125
139		-46.875000
140		-48.828125
141		-44.921875
142		-48.828125
143		-44.921875
144		-48.828125
145		-44.921875
146		-46.875000
147		-42.968750
148		-44.921875
149		-42.968750
150		-44.921875
151		-41.015625
152		-42.968750
153		-39.062500
154		-42.968750
155		-39.062500
156		-41.015625
157		-37.109375
158		-39.062500
159		-35.156250
160		-37.109375
161		-33.203125
162		-35.156250
163		-31.250000
164		-33.203125
165		-29.296875
166		-31.250000
167		-27.343750
168		-29.296875
169		-25.390625
170		-27.343750
171		-21.484375
172		-25.390625
173		-19.531250
174		-21.484375
175		-17.578125
176		-19.531250
177		-15.625000
178		-15.625000
179		-11.718750
180		-15.625000
181		-9.765625
182		-11.718750
183		-5.859375
184		-7.812500
185		-1.953125
186		-5.859375
187		0.000000
188		-1.953125
189		1.953125
190		0.000000
191		5.859375
192		1.953125
193		7.812500
194		5.859375
195		11.718750
196		9.765625
197		13.671875
198		11.718750
199		17.578125
200		15.625000
201		19.531250
202		17.578125
203		23.437500
204		21.484375
205		25.390625
206		23.437500
207		29.296875
208		27.343750
209		31.250000
210		29.296875
211		33.203125
212		31.250000
213		37.109375
214		33.203125
215		39.062500
216		37.109375
217		42.968750
218		41.015625
219		44.921875
220		42.968750
221		46.875000
222		44.921875
223		48.828125
224		46.875000
225		52.734375
226		48.828125
227		52.734375
228		52.734375
229		56.640625
230		54.687500
231		56.640625
232		56.640625
233		58.593750
234		56.640625
235		62.500000
236		58.593750
237		62.500000
238		60.546875
239		64.453125
240		62.500000
241		64.453125
242		64.453125
243		66.406250
244		64.453125
245		68.359375
246		64.453125
247		70.312500
248		66.406250
249		70.312500
250		68.359375
251		70.312500
252		66.406250
253		72.265625
254		68.359375
255		72.265625
256		68.359375
257		72.265625
258		68.359375
259		72.265625
260		68.359375
261		72.265625
262		70.312500
263		72.265625
264		68.359375
265		72.265625
266		68.359375
267		72.265625
268		68.359375
269		70.312500
270		68.359375
271		70.312500
272		66.406250
273		70.312500
274		66.406250
275		70.312500
276		64.453125
277		70.312500
278		64.453125
279		68.359375
280		62.500000
281		66.406250
282		62.500000
283		64.453125
284		60.546875
285		64.453125
286		58.593750
287		62.500000
288		56.640625
289		60.546875
290		54.687500
291		58.593750
292		52.734375
293		56.640625
294		50.781250
295		54.687500
296		48.828125
297		52.734375
298		46.875000
299		52.734375
300		44.921875
301		48.828125
302		41.015625
303		46.875000
304		39.062500
305		42.968750
306		37.109375
307		41.015625
308		33.203125
309		39.062500
310		31.250000
311		35.156250
312		29.296875
313		33.203125
314		25.390625
315		31.250000
316		23.437500
317		27.343750
318		19.531250
319		25.390625
320		17.578125
321		21.484375
322		13.671875
323		19.531250
324		11.718750
325		17.578125
326		7.812500
327		13.671875
328		5.859375
329		9.765625
330		1.953125
331		7.812500
332		0.000000
333		3.906250
334		-3.906250
335		1.953125
336		-5.859375
337		-1.953125
338		-9.765625
339		-3.906250
340		-11.718750
341		-7.812500
342		-15.625000
343		-9.765625
344		-17.578125
345		-13.671875
346		-19.531250
347		-15.625000
348		-23.437500
349		-17.578125
350		-25.390625
351		-21.484375
352		-27.343750
353		-23.437500
354		-29.296875
355		-25.390625
356		-31.250000
357		-27.343750
358		-35.156250
359		-29.296875
360		-37.109375
361		-31.250000
362		-37.109375
363		-35.156250
364		-39.062500
365		-35.156250
366		-41.015625
367		-37.109375
368		-42.968750
369		-39.062500
370		-44.921875
371		-39.062500
372		-44.921875
373		-41.015625
374		-46.875000
375		-42.968750
376		-46.875000
377		-44.921875
378		-48.828125
379		-44.921875
380		-48.828125
381		-44.921875
382		-48.828125
383		-46.875000
384		-48.828125
385		-46.875000
386		-50.781250
387		-46.875000
388		-48.828125
389		-46.875000
390		-48.828125
391		-46.875000
392		-48.828125
393		-44.921875
394		-48.828125
395		-44.921875
396		-48.828125
397		-44.921875
398		-46.875000
399		-42.968750
400		-46.875000
401		-42.968750
402		-44.921875
403		-42.968750
404		-44.921875
405		-41.015625
406		-42.968750
407		-39.062500
408		-41.015625
409		-37.109375
410		-39.062500
411		-37.109375
412		-37.109375
413		-33.203125
414		-35.156250
415		-31.250000
416		-33.203125
417		-31.250000
418		-31.250000
419		-27.343750
420		-29.296875
421		-25.390625
422		-27.343750
423		-23.437500
424		-25.390625
425		-21.484375
426		-23.437500
427		-17.578125
428		-21.484375
429		-15.625000
430		-17.578125
431		-13.671875
432		-15.625000
433		-9.765625
434		-11.718750
435		-7.812500
436		-9.765625
437		-3.906250
438		-7.812500
439		-1.953125
440		-3.906250
441		1.953125
442		0.000000
443		3.906250
444		1.953125
445		7.812500
446		3.906250
447		9.765625
448		7.812500
449		13.671875
450		11.718750
451		15.625000
452		13.671875
453		19.531250
454		17.578125
455		21.484375
456		19.531250
457		25.390625
458		21.484375
459		27.343750
460		25.390625
461		29.296875
462		29.296875
463		33.203125
464		31.250000
465		37.109375
466		33.203125
467		39.062500
468		37.109375
469		41.015625
470		39.062500
471		42.968750
472		41.015625
473		44.921875
474		44.921875
475		48.828125
476		46.875000
477		50.781250
478		46.875000
479		52.734375
480		50.781250
481		54.687500
482		52.734375
483		56.640625
484		54.687500
485		58.593750
486		56.640625
487		60.546875
488		58.593750
489		62.500000
490		60.546875
491		64.453125
492		62.500000
493		64.453125
494		62.500000
495		66.406250
496		64.453125
497		68.359375
498		64.453125
499		70.312500
500		66.406250
501		70.312500
502		66.406250
503		70.312500
504		66.406250
505		70.312500
506		68.359375
507		72.265625
508		68.359375
509		72.265625
510		68.359375
511		72.265625
512		70.312500
513		72.265625
514		70.312500
515		72.265625
516		68.359375
517		72.265625
518		70.312500
519		72.265625
520		68.359375
521		72.265625
522		68.359375
523		72.265625
524		66.406250
525		70.312500
526		66.406250
527		70.312500
528		66.406250
529		70.312500
530		64.453125
531		68.359375
532		62.500000
533		66.406250
534		62.500000
535		64.453125
536		60.546875
537		64.453125
538		58.593750
539		62.500000
540		58.593750
541		60.546875
542		56.640625
543		60.546875
544		52.734375
545		58.593750
546		52.734375
547		56.640625
548		50.781250
549		54.687500
550		46.875000
551		52.734375
552		44.921875
553		48.828125
554		42.968750
555		46.875000
556		41.015625
557		44.921875
558		39.062500
559		42.968750
560		35.156250
561		39.062500
562		33.203125
563		37.109375
564		29.296875
565		35.156250
566		27.343750
567		33.203125
568		25.390625
569		29.296875
570		21.484375
571		25.390625
572		19.531250
573		23.437500
574		15.625000
575		21.484375
576		13.671875
577		17.578125
578		9.765625
579		13.671875
580		7.812500
581		11.718750
582		3.906250
583		9.765625
584		0.000000
585		5.859375
586		-1.953125
587		1.953125
588		-5.859375
589		0.000000
590		-7.812500
591		-1.953125
592		-9.765625
593		-5.859375
594		-13.671875
595		-7.812500
596		-15.625000
597		-11.718750
598		-19.531250
599		-13.671875
600		-21.484375
601		-17.578125
602		-23.437500
603		-19.531250
604		-27.343750
605		-21.484375
606		-29.296875
607		-25.390625
608		-31.250000
609		-27.343750
610		-33.203125
611		-29.296875
612		-35.156250
613		-31.250000
614		-37.109375
615		-33.203125
616		-39.062500
617		-35.156250
618		-41.015625
619		-37.109375
620		-41.015625
621		-39.062500
622		-42.968750
623		-39.062500
624		-44.921875
625		-41.015625
626		-44.921875
627		-42.968750
628		-46.875000
629		-42.968750
630		-46.875000
631		-44.921875
632		-48.828125
633		-44.921875
634		-48.828125
635		-44.921875
636		-48.828125
637		-46.875000
638		-50.781250
639		-46.875000
640		-48.828125
641		-46.875000
642		-48.828125
643		-46.875000
644		-48.828125
645		-46.875000
646		-48.828125
647		-44.921875
648		-48.828125
649		-44.921875
650		-46.875000
651		-42.968750
652		-46.875000
653		-42.968750
654		-44.921875
655		-42.968750
656		-46.875000
657		-41.015625
658		-42.968750
659		-39.062500
660		-41.015625
661		-39.062500
662		-41.015625
663		-37.109375
664		-39.062500
665		-35.156250
666		-37.109375
667		-33.203125
668		-37.109375
669		-31.250000
670		-33.203125
671		-29.296875
672		-31.250000
673		-27.343750
674		-29.296875
675		-23.437500
676		-25.390625
677		-21.484375
678		-23.437500
679		-19.531250
680		-21.484375
681		-17.578125
682		-19.531250
683		-13.671875
684		-15.625000
685		-11.718750
686		-13.671875
687		-9.765625
688		-9.765625
689		-5.859375
690		-7.812500
691		-1.953125
692		-3.906250
693		0.000000
694		-1.953125
695		3.906250
696		1.953125
697		5.859375
698		3.906250
699		9.765625
700		7.812500
701		11.718750
702		9.765625
703		13.671875
704		13.671875
705		17.578125
706		15.625000
707		21.484375
708		19.531250
709		23.437500
710		21.484375
711		27.343750
712		25.390625
713		29.296875
714		27.343750
715		33.203125
716		29.296875
717		35.156250
718		33.203125
719		37.109375
720		35.156250
721		39.062500
722		39.062500
723		42.968750
724		41.015625
725		44.921875
726		42.968750
727		46.875000
728		44.921875
729		48.828125
730		48.828125
731		52.734375
732		48.828125
733		54.687500
734		52.734375
735		56.640625
736		54.687500
737		58.593750
738		56.640625
739		58.593750
740		56.640625
741		60.546875
742		58.593750
743		62.500000
744		60.546875
745		64.453125
746		62.500000
747		66.406250
748		62.500000
749		66.406250
750		64.453125
751		68.359375
752		64.453125
753		68.359375
754		66.406250
755		70.312500
756		68.359375
757		70.312500
758		68.359375
759		72.265625
760		68.359375
761		72.265625
762		68.359375
763		72.265625
764		68.359375
765		72.265625
766		70.312500
767		72.265625
768		68.359375
769		74.218750
770		70.312500
771		72.265625
772		68.359375
773		72.265625
774		68.359375
775		72.265625
776		68.359375
777		72.265625
778		66.406250
779		70.312500
780		66.406250
781		70.312500
782		64.453125
783		68.359375
784		64.453125
785		68.359375
786		62.500000
787		66.406250
788		62.500000
789		64.453125
790		60.546875
791		64.453125
792		58.593750
793		62.500000
794		56.640625
795		60.546875
796		54.687500
797		58.593750
798		52.734375
799		56.640625
800		50.781250
801		54.687500
802		48.828125
803		52.734375
804		46.875000
805		50.781250
806		44.921875
807		48.828125
808		42.968750
809		46.875000
810		39.062500
811		42.968750
812		37.109375
813		41.015625
814		33.203125
815		39.062500
816		31.250000
817		35.156250
818		27.343750
819		33.203125
820		25.390625
821		31.250000
822		23.437500
823		27.343750
824		19.531250
825		25.390625
826		17.578125
827		21.484375
828		13.671875
829		19.531250
830		9.765625
